id,eps,codigo_cups,descripcion,tarifa
112,EMSSANAR_CAPITA,871111,RADIOGRAFIA DE REJA COSTAL,
113,EMSSANAR_CAPITA,871112,RADIOGRAFIA DE ESTERNON,
114,EMSSANAR_CAPITA,871121,RADIOGRAFIA DE TORAX ( P. A. O A. P. Y LATERAL - DECUBITO LATERAL - OBLICUAS O LATERAL ),
115,EMSSANAR_CAPITA,871129,RADIOGRAFIA DE ARTICULACIONES ESTERNOCLAVICULARES,
116,EMSSANAR_CAPITA,872002,RADIOGRAFIA DE ABDOMEN SIMPLE,
117,EMSSANAR_CAPITA,873111,RADIOGRAFIA DE OMOPLATO,
118,EMSSANAR_CAPITA,873112,RADIOGRAFIA DE CLAVICULA,
119,EMSSANAR_CAPITA,873121,RADIOGRAFIA DE HUMERO,
120,EMSSANAR_CAPITA,873122,RADIOGRAFIA DE ANTEBRAZO,
121,EMSSANAR_CAPITA,873202,RADIOGRAFIA DE ARTICULACIONES ACROMIO CLAVICULARES COMPARATIVAS,
122,EMSSANAR_CAPITA,873204,RADIOGRAFIA DE HOMBRO,
123,EMSSANAR_CAPITA,873205,RADIOGRAFIA DE CODO,
124,EMSSANAR_CAPITA,873206,RADIOGRAFIA DE PUNO O MUNECA,
125,EMSSANAR_CAPITA,873210,RADIOGRAFIA DE MANO,
126,EMSSANAR_CAPITA,873312,RADIOGRAFIA DE FEMUR ( AP - LATERAL ),
127,EMSSANAR_CAPITA,873313,RADIOGRAFIA DE PIERNA ( AP - LATERAL ),
128,EMSSANAR_CAPITA,873314,RADIOGRAFIA DE ANTEVERSION TIBIAL,
129,EMSSANAR_CAPITA,873333,RADIOGRAFIA DE PIE ( AP - LATERAL Y OBLICUA ),
130,EMSSANAR_CAPITA,873335,RADIOGRAFIA DE CALCANEO ( AXIAL Y LATERAL ),
131,EMSSANAR_CAPITA,873340,RADIOGRAFIA DE MIEMBRO INFERIOR ( AP - LATERAL ),
132,EMSSANAR_CAPITA,873411,RADIOGRAFIA DE CADERA O ARTICULACION COXO-FEMORAL ( AP - LATERAL ),
133,EMSSANAR_CAPITA,873420,RADIOGRAFIA DE RODILLA ( AP - LATERAL ),
134,EMSSANAR_CAPITA,873431,RADIOGRAFIA DE TOBILLO ( AP - LATERAL Y ROTACION INTERNA ),
137,EMSSANAR_CAPITA,890108,ATENCION ( VISITA ) DOMICILIARIA - POR PSICOLOGIA,
143,EMSSANAR_CAPITA,890208,CONSULTA DE PRIMERA VEZ POR PSICOLOGIA,
148,EMSSANAR_CAPITA,890308,CONSULTA DE CONTROL O DE SEGUIMIENTO POR PSICOLOGIA,
149,EMSSANAR_CAPITA,890701,CONSULTA DE URGENCIAS POR MEDICINA GENERAL,
150,EMSSANAR_CAPITA,890703,CONSULTA DE URGENCIAS POR ODONTOLOGIA GENERAL,
151,EMSSANAR_CAPITA,893812,REGISTRO DE OXIMETRIA CUTANEA,
152,EMSSANAR_CAPITA,895101,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE S,
153,EMSSANAR_CAPITA,901001,ANTIBIOGRAMA ( DISCO ),
154,EMSSANAR_CAPITA,901101,BACILOSCOPIA COLORACION ACIDO ALCOHOL-RESISTENTE [ ZIEHL-NEELSEN ],
