id	cups	procedimiento								D	D				D
1641	S01CA03	CIPROFLOXACINA - HIDROCORTISONA								10641	#N/A				10641
1642	S01CA01	CIPROFLOXACINA 0.3% OTICA								10640	#N/A				10640
7409	S01BP028601	PREDNISOLONA +FENILEFRINA +NEOMICINA								10639	#N/A				10639
5933	S01BC05	KETOROLACO TROMETAMINA 0.4%								10638	#N/A				10638
4582	S01BA0701	FLUOROMETOLONA								10636	#N/A				10636
6583	S01AE07	Moxifloxacino								10630	#N/A				10630
1644	S01AE03	CIPROFLOXACINO 0.3% SOLUCION OFTALMICA								10623	#N/A				10623
9591	S01AB04	SULFACETAMIDA								10614	#N/A				10614
10032	S01AA20	TOBRAMICINA SULFATO 0.3%/ DEXAMETASONA 0.1%								10612	#N/A				10612
2828	S01AA18	DEXMETASON+NEOMICI+POLIMIXI B								10611	#N/A				10611
10031	S01AA12	TOBRAMICINA								10607	#N/A				10607
4821	S01AA1101	GENTAMICINA								10606	#N/A				10606
4598	RSA-001764-2016	FORMULA F75								10604	#N/A				10604
4501	RO6AX26	FEXOFENADINA								10603	#N/A				10603
2803	R06AX2702	DESLORATADINA 0.05%								10600	#N/A				10600
2802	R06AX2701	DESLORATADINA								10599	#N/A				10599
2801	R06AX27	DESLORATADINA								10597	#N/A				10597
5934	R06AX1702	KETOTIFENO								10594	#N/A				10594
5935	R06AX1701	KETOTIFENO								10593	#N/A				10593
6267	R06AX1302	LORATADINA								10592	#N/A				10592
6268	R06AX1301	LORATADINA								10588	#N/A				10588
1539	R06AE07	CETIRIZINA TAB								10585	#N/A				10585
1755	R06AB04	CLORFENIRAMINA MALEATO								10584	#N/A				10584
1740	R06AA04	Clemastina								10583	#N/A				10583
2851	R06AA0203	DIFENHIDRAMINA								10581	#N/A				10581
2850	R06AA0202	DIFENHIDRAMINA								10580	#N/A				10580
2849	R06AA0201	DIFENHIDRAMINA								10576	#N/A				10576
9056	R05CB0602	RESUCITADOR MANUAL PEDIATRICO								10575	#N/A				10575
9055	R05CB0601	RESUCITADOR MANUAL NEONATAL								10572	#N/A				10572
6612	R05CB0101-3	N-ACETILCISTEINA								10571	#N/A				10571
