cups,procedimiento
892901,TOMA NO QUIRURGICA DE MUESTRA O TEJIDO CERVICOVAGINAL PARA ESTUDIO CITOLOGICO
892904,TECNICAS DE INSPECCION VISUAL CON ACIDO ACETICO Y LUGOL
893805,ESPIROMETRIA O CURVA DE FLUJO VOLUMEN PRE Y POST BRONCODILATADORES
893812,REGISTRO DE OXIMETRIA CUTANEA
895004,MONITOREO AMBULATORIO DE PRESION ARTERIAL SISTEMICA
895101,ELECTROCARDIOGRAMA DE RITMO O DE SUPERFICIE
896101,MONITOREO DE PRESION ARTERIAL SISTEMICA (TELEMETRIA)
897011,MONITORIA FETAL ANTEPARTO
897012,MONITORIA FETAL INTRAPARTO
898003,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA POR ASPIRACION CON AGUJA FINA [ACAF] DE CUALQUIER TEJIDO U ORGANO
898015,ESTUDIO ANATOMOPATOLOGICO BASICO EN CITOLOGIA CERVICOVAGINAL MANUAL
901001,ANTIBIOGRAMA (DISCO)
901002,ERITROSEDIMENTACION [ VELOCIDAD SEDIMENTACION GLOBULAR - VSG ] MANUAL
901003,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
901101,BACILOSCOPIA COLORACION ACIDO ALCOHOL-RESISTENTE [ZIEHL-NEELSEN]
901102,COLORACION ACIDO ALCOHOL RESISTENTE MODIFICADA Y LECTURA. -- INCY : ISOSPORA BELLI - CRYPTOSPORIDIUM - ENTRE OTROS
901104,COLORACION AZUL DE METILENO Y LECTURA PARA CUALQUIER MUESTRA
901106,COLORACION GIEMSA Y LECTURA
901107,COLORACION GRAM Y LECTURA PARA CUALQUIER MUESTRA
901111,BACILOSCOPIA COLORACION ACIDO ALCOHOL RESISTENTE [ZIELH-NEELSEN] LECTURA SERIADA TRES MUESTRAS
901206,HEMOPARASITOS EXTENDIDO DE SANGRE PERIFERICA
901210,CULTIVO ESPECIAL PARA OTROS MICROORGANISMOS EN CUALQUIER MUESTRA
901221,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
901222,RECUENTO DE PLAQUETAS AUTOMATIZADO
901230,MYCOBACTERIUM TUBERCULOSIS CULTIVO
901232,RECUENTO DE PLAQUETAS MANUAL
901235,UROCULTIVO (ANTIBIOGRAMA DE DISCO)
901236,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA AUTOMATIZADO)
901237,UROCULTIVO (ANTIBIOGRAMA CONCENTRACION MINIMA INHIBITORIA MANUAL)
901304,EXAMEN DIRECTO FRESCO DE CUALQUIER MUESTRA
901305,EXAMEN DIRECTO PARA HONGOS (KOH)
901321,STREPTOCOCCUS BETA HEMOLITICO GRUPO A (PRUEBA DIRECTA)
901325,EXAMEN DIRECTO DE CUALQUIER MUESTRA
901326,LEISHMANIA EXAMEN DIRECTO
902010,ACIDO URICO EN SUERO U OTROS FLUIDOS
902011,ACIDO URICO EN ORINA DE 24 HORAS
902041,ALBUMINA EN SUERO U OTROS FLUIDOS
902045,TIEMPO DE PROTROMBINA [TP]
902049,TIEMPO DE TROMBOPLASTINA PARCIAL [TTP]
902204,ERITROSEDIMENTACION [VELOCIDAD SEDIMENTACION GLOBULAR - VSG] MANUAL
902206,EXTENDIDO DE SANGRE PERIFERICA ESTUDIO DE MORFOLOGIA
902207,HEMOGRAMA I (HEMOGLOBINA HEMATOCRITO Y LEUCOGRAMA) MANUAL
902208,HEMOGRAMA II (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS E INDICES PLAQUETARIOS) SEMIAUTOMATIZADO
902209,HEMOGRAMA III (HEMOGLOBINA HEMATOCRITO RECUENTO DE ERITROCITOS INDICES ERITROCITARIOS LEUCOGRAMA RECUENTO DE PLAQUETAS INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA) AUTOMATIZADO
902210,HEMOGRAMA IV [HEMOGLOBINA. HEMATOCRITO. RECUENTO DE ERITROCITOS. INDICES ERITROCITARIOS. LEUCOGRAMA. RECUENTO DE PLAQUETAS. INDICES PLAQUETARIOS Y MORFOLOGIA ELECTRONICA E HISTOGRAMA] METODO AUTOMATICO+
902211,HEMATOCRITO
902213,HEMOGLOBINA
902214,HEMOPARASITOS EXTENDIDO DE GOTA GRUESA
902215,HEMOPARASITOS. EXTENDIDO DE SANGRE PERIFERICA *+
902216,LEUCOGRAMA (RECUENTO TOTAL Y DIFERENCIAL)
902217,PRUEBA DE TORNIQUETE [ FRAGILIDAD CAPILAR ]
902220,RECUENTO DE PLAQUETAS AUTOMATIZADO
902221,RECUENTO DE PLAQUETAS MANUAL
902223,RECUENTO DE RETICULOCITOS METODO MANUAL
902224,GLUCOSA CURVA DE TOLERANCIA. -- EXCY : 90. 3. 8. 84 - 90. 3. 8. 85 - 90. 3. 8. 86 - 90. 3. 8. 87 - 90. 3. 8. 88 - 90. 3. 8. 89 - 90. 3. 8. 90 - 90. 3. 8. 91 - 90. 3. 8. 92 - 90. 3. 8. 93 Y 90. 3. 8. 94
903026,MICROALBUMINURIA AUTOMATIZADA EN ORINA PARCIAL
903027,MICROALBUMINURIA AUTOMATIZADA EN ORINA DE 24 HORAS
903028,LIPASA
903426,HEMOGLOBINA GLICOSILADA AUTOMATIZADA
903427,HEMOGLOBINA GLICOSILADA MANUAL O SEMIAUTOMATIZADA
903801,ACIDO URICO EN SUERO U OTROS FLUIDOS
903802,ACIDO URICO EN ORINA DE 24 HORAS
903803,ALBUMINA EN SUERO U OTROS FLUIDOS
903804,TRANSAMINASA GLUTAMICO - PIRUVICA [ ALANINO AMINO TRANSFERASA ]
903805,AMILASA EN SUERO U OTROS FLUIDOS
903809,BILIRRUBINAS TOTAL Y DIRECTA
903810,CALCIO SEMIAUTOMATIZADO
903815,COLESTEROL DE ALTA DENSIDAD
903816,COLESTEROL DE BAJA DENSIDAD SEMIAUTOMATIZADO
903817,COLESTEROL DE BAJA DENSIDAD [LDL] AUTOMATIZADO
903818,COLESTEROL TOTAL
903822,CREATINA
903823,CREATININA DEPURACION
903824,CREATININA EN ORINA DE 24 HORAS
903826,CUERPOS CETONICOS O CETONAS EN ORINA
903828,DESHIDROGENASA LACTICA
903830,TOXOPLASMA GONDII ANTICUERPOS IG G AUTOMATIZADO
903833,FOSFATASA ALCALINA
903840,GLUCOSA EN ORINA
903841,GLUCOSA EN SUERO U OTRO FLUIDO DIFERENTE A ORINA
903842,GLUCOSA PRE Y POST CARGA DE GLUCOSA
903843,GLUCOSA PRE Y POST PRANDIAL
903844,GLUCOSA CURVA DE TOLERANCIA
903845,GLUCOSA TEST O’ SULLIVAN
903847,LIPASA
903856,NITROGENO UREICO
903857,NITROGENO UREICO [BUN] EN ORINA DE 24 H +
903859,POTASIO EN SUERO U OTROS FLUIDOS
903862,PROTEINAS EN ORINA DE 24 HORAS
903863,PROTEINAS TOTALES EN SUERO Y OTROS FLUIDOS
903864,SODIO EN SUERO U OTROS FLUIDOS
903866,TRANSAMINASA GLUTAMICO-PIRUVICA [ALANINO AMINO TRANSFERASA]
903867,TRANSAMINASA GLUTAMICO OXALACETICA [ASPARTATO AMINO TRANSFERASA]
903868,TRIGLICERIDOS
903869,UREA EN SANGRE U OTROS FLUIDOS
903876,CREATININA EN ORINA PARCIAL
903883,GLUCOSA SEMIAUTOMATIZADA [GLUCOMETRIA]
903895,CREATININA EN SUERO U OTROS FLUIDOS
904105,HORMONA FOLICULO ESTIMULANTE
904108,PROLACTINA
904508,GONADOTROPINA CORIONICA SUBUNIDAD BETA CUALITATIVA PRUEBA DE EMBARAZO EN ORINA O SUERO
904902,HORMONA ESTIMULANTE DEL TIROIDES
904903,HORMONA ESTIMULANTE DEL TIROIDES [TSH] NEONATAL
904921,TIROXINA LIBRE
904925,TRIYODOTIRONINA TOTAL
906039,TREPONEMA PALLIDUM ANTICUERPOS (PRUEBA TREPONEMICA) MANUAL O SEMIAUTOMATIZADA O AUTOMATIZADA
906127,TOXOPLASMA GONDII ANTICUERPOS IG G AUTOMATIZADO
906129,TOXOPLASMA GONDII ANTICUERPOS IG M AUTOMATIZADO
906205,CITOMEGALOVIRUS ANTICUERPOS IG G SEMIAUTOMATIZADO O AUTOMATIZADO
906206,CITOMEGALOVIRUS ANTICUERPOS IG M SEMIAUTOMATIZADO O AUTOMATIZADO
906207,DENGUE ANTICUERPOS IG G
906208,DENGUE ANTICUERPOS IG M
906212,HEPATITIS B. ANTIGENO E [AG HBE]
906214,HERPES SIMPLEX I Y II. ANTIGENOS
906218,HEPATITIS A ANTICUERPOS IG M SEMIAUTOMATIZADO O AUTOMATIZADO
906220,COOMBS DIRECTO FRACCIONADO MONOESPECIFICO ( INMUNOGLOBULINAS Y FRACCIONES DEL COMPLEMENTO ) EN TUBO
906221,COOMBS DIRECTO CUALITATIVO POR MICROTECNICA
906222,COOMBS DIRECTO CUALITATIVO EN TUBO
906223,HEPATITIS B ANTICUERPOS S [ANTI-HBS] SEMIAUTOMATIZADO O AUTOMATIZADO
906241,RUBEOLA ANTICUERPOS IG G AUTOMATIZADO
906242,RUBEOLA ANTICUERPOS IG G SEMIAUTOMATIZADO
906243,RUBEOLA ANTICUERPOS IG M AUTOMATIZADO
906247,VARICELA ZOSTER ANTICUERPOS IG G SEMIAUTOMATIZADO O AUTOMATIZADO
906249,VIRUS DE INMUNODEFICIENCIA HUMANA 1 Y 2 ANTICUERPOS
906250,VIRUS DE INMUNODEFICIENCIA HUMANA PRUEBA CONFIRMATORIA
906270,HEMOCLASIFICACION SISTEMA ABO DIRECTA [ HEMOCLASIFICACION GLOBULAR ] POR MICROTECNICA
906271,HEMOCLASIFICACION SISTEMA ABO DIRECTA [ HEMOCLASIFICACION GLOBULAR ] EN TUBO
906304,HEMOCLASIFICACION SISTEMA ABO INVERSA [ HEMOCLASIFICACION SERICA ] POR MICROTECNICA
906317,HEPATITIS B ANTIGENO DE SUPERFICIE [AG HBS]
906318,TERAPIA RESPIRATORIA INTEGRAL. -- INCY : PERCUSION - VIBRACION - DRENAJE POSTURAL - SUCCION - MICRONEBULIZACION - ACELERADOR DE FLUJO - TOS ASISTIDA O EJERCICIOS RESPIRATORIOS
906340,TERAPIA FISICA INTEGRAL. -- INCY : ACTIVIDADES PROPIAS A EJECUTAR EN LOS COMPONENTES SENSORIOMOTORES DEL DESEMPEAO - EJERCICIOS TERAPEUTICOS - ESTIMULACION - MECANOTERAPIA - MEDIOS FISICOS ( HIDROTERAPIA - CRIOTERAPIA - CALOR HUMEDO ) - ELECTROTERAPIA ( B
906610,ANTIGENO ESPECIFICO DE PROSTATA SEMIAUTOMATIZADO O AUTOMATIZADO
906911,FACTOR REUMATOIDEO MANUAL
906914,PROTEINA C REACTIVA MANUAL O SEMIAUTOMATIZADO
906915,PRUEBA NO TREPONEMICA MANUAL
907001,AZUCARES REDUCTORES EN HECES
907002,COPROLOGICO
907003,COPROLOGICO POR CONCENTRACION +
907004,COPROSCOPICO
907005,FROTIS RECTAL [IDENTIFICACION DE TROFOZOITOS] +
907008,SANGRE OCULTA EN MATERIA FECAL [GUAYACO O EQUIVALENTE] +
907009,SANGRE OCULTA EN MATERIA FECAL (DETERMINACION DE HEMOGLOBINA HUMANA ESPECIFICA)
907106,UROANALISIS
907107,RADIOGRAFIA DE PIE ( AP - LATERAL Y OBLICUA )
907202,MOCO CERVICAL ANALISIS (TEST DE HELECHO)
908856,RADIOGRAFIA DE CADERA O ARTICULACION COXO - FEMORAL ( AP - LATERAL )
911007,RADIOGRAFIA DE RODILLA ( AP - LATERAL )
911008,TOMA NO QUIRURGICA DE MUESTRA O TEJIDO CERVICOVAGINAL PARA ESTUDIO CITOLOGICO
911009,TRANSPORTE TERRESTRE DOMICILIARIO DE MEDICAMENTOS - SIMPLE - ZONA URBANA
911010,TRANSPORTE TERRESTRE DOMICILIARIO DE MEDICAMENTOS - SIMPLE - ZONA RURAL
911015,HEMOCLASIFICACION SISTEMA RH [ANTIGENO RH D] POR MICROTECNICA
911016,HEMOCLASIFICACION SISTEMA RH [ANTIGENO RH D] EN TUBO
911017,HEMOCLASIFICACION SISTEMA ABO DIRECTA [HEMOCLASIFICACION GLOBULAR] POR MICROTECNICA
911018,HEMOCLASIFICACION SISTEMA ABO DIRECTA [HEMOCLASIFICACION GLOBULAR] EN TUBO
911019,HEMOCLASIFICACION SISTEMA ABO INVERSA [HEMOCLASIFICACION SERICA] POR MICROTECNICA
911020,HEMOCLASIFICACION SISTEMA ABO INVERSA [HEMOCLASIFICACION SERICA] EN TUBO
931001,TERAPIA FISICA INTEGRAL
933701,ENTRENAMIENTO PRE - PERI Y POST PARTO
935001,INMOVILIZACION - PRESION Y CUIDADO DE HERIDA
935101,APLICACION DE VENDAJE ENYESADO
935301,APLICACION O CAMBIO DE YESO PARA INMOVILIZACION EN MIEMBRO SUPERIOR (EXCEPTO MANO)
935302,APLICACION O CAMBIO DE YESO PARA INMOVILIZACION EN MANO
935303,APLICACION O CAMBIO DE YESO O ARNES TORACOLUMBOSACRO
935304,"""APLICACION O CAMBIO DE YESO PARA INMOVILIZACION EN MIEMBRO INFERIOR (MUSLO"
935305,APLICACION O CAMBIO DE YESO EN PIE
935306,"""APLICACION O CAMBIO DE YESO"
935401,APLICACION DE FERULA
935701,APLICACION DE OTRO VENDAJE (NO COMPRESIVO) EN HERIDA
935901,APLICACION DE VENDAJE DE VELPEAU
936801,INMOVILIZACION O MANIPULACION ARTICULAR INESPECIFICA
939401,MEDICACION RESPIRATORIA ADMINISTRADA MEDIANTE NEBULIZACION (AEROSOLTERAPIA)
939402,NEBULIZACION
939403,TERAPIA RESPIRATORIA INTEGRAL
943102,PSICOTERAPIA INDIVIDUAL POR PSICOLOGIA
944002,PSICOTERAPIA DE PAREJA POR PSICOLOGIA
944102,PSICOTERAPIA FAMILIAR POR PSICOLOGIA
944202,PSICOTERAPIA DE GRUPO POR PSICOLOGIA
950601,MEDICION DE AGUDEZA VISUAL
960201,INSERCION DE VIA AEREA OROFARINGEA
960701,INSERCION DE OTRO TUBO O SONDA NASO-GASTRICA ( INTUBACION PARA DECOMPRESION )
961401,TAPONAMIENTO VAGINAL
961601,INSERCION DE DISPOSITIVO EN URETRA
963101,CONSULTA DE CONTROL O DE SEGUIMIENTO POR ENFERMERIA
963301,LAVADO GASTRICO DE LIMPIEZA
963801,EXTRACCION DIGITAL O MANUAL DE HECES IMPACTADAS
963901,IRRIGACION O ENEMA TRANSANAL
965101,IRRIGACION Y LAVADO DEL OJO
965201,LAVADO E IRRIGACION DE OIDOS
965301,IRRIGACION O CURACION DE CONDUCTOS NASALES
965901,"""LAVADO"
970101,SUSTITUCION DE TUBO (SONDA) NASOGASTRICO O DE ESOFAGOSTOMIA
971101,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO SUPERIOR
971201,SUSTITUCION DE ESCAYOLA O FERULA EN MIEMBRO INFERIOR
971401,SUSTITUCION DE OTRO DISPOSITIVO PARA INMOVILIZACION MUSCULOESQUELETICA
971601,SUSTITUCION DE TAPON O DRENAJE DE HERIDA
972101,SUSTITUCION DE TAPON NASAL
972201,SUSTITUCION DE TAPON DENTAL
973201,EXTRACCION DE TAPON NASAL
973801,RETIRO DE SUTURAS DE CABEZA Y CUELLO (RETIRO DE PUNTOS)
974301,RETIRO DE SUTURAS DE TORAX ( RETIRO DE PUNTOS )
976501,EXTRACCION DE DISPOSITIVO URETRAL
977101,EXTRACCION DE DISPOSITIVO ANTICONCEPTIVO INTRAUTERINO (DIU)
977501,EXTRACCION DE TAPON ( MECHA ) VAGINAL O VULVAR
978301,EXTRACCION DE SUTURAS DE PARED ABDOMINAL
981101,EXTRACCION SIN INCISION DE CUERPO EXTRANO DE CONDUCTO AUDITIVO EXTERNO
981201,EXTRACCION DE CUERPO EXTRANO DE LA NARIZ SIN INCISION VIA TRANSNASAL
981701,EXTRACCION SIN INCISION DE CUERPO EXTRANO INTRALUMINAL DE LA VAGINA
982101,EXTRACCION DE CUERPO EXTRANO SUPERFICIAL DE LA CONJUNTIVA
982102,EXTRACCION DE CUERPO EXTRANO SUPERFICIAL EN CORNEA O ESCLEROTICA
982201,EXTRACCION SIN INCISION DE CUERPO EXTRANO NO INTRALUMINAL EN CUELLO O CABEZA
982501,EXTRACCION SIN INCISION DE CUERPO EXTRANO NO INTRALUMINAL EN OTRO SITIO SALVO EN VULVA - PENE O ESCROTO
982601,EXTRACCION SIN INCISION DE CUERPO EXTRANO EN MANO
