id,cups,procedimiento,ide
4672,11610,Fulguracion vulva,2179
7629,116100,Queratoplastia lamelar o superficial sod,5610
8853,11611,Reseccion glandula de skene,2180
8976,11612,Reseccion tumor benigno vulva,2181
6161,11613,Limpieza. debridamiento y cierre de dehiscencia de episiorrafia,2182
2436,1162,Craneoplastia para correccion de defecto por reseccion del tumor oseo o infeccion,2183
8852,11620,Reseccion glandula de bartholin (bartholinectomia),2184
7633,116200,Queratoplastia penetrante sod,5611
2998,11621,Drenaje absceso glandula de bartholin y marsupializacion,2185
3750,1163,Esquirlectomia craneal,2186
1744,11630,Clitoridectomia,2187
7634,116300,Queratoplastia penetrante. combinada con cirugia de catarata.antiglaucomatosa o lente intraocular [cirugia triple]sod,5612
10778,11631,Vulvectomia radical,2188
10779,11632,Vulvectomia simple,2221
8598,11633,Reseccion de endometrioma perineal,2222
8855,11634,Reseccion granuloma vulvo-perineal,2223
2434,1164,Craneoplastia con acrilico,2224
1622,11640,Cierre fistula perineal,2225
3650,116400,Escleroqueratoplastia sod,5613
2316,11641,Correccion desgarroperineal en atencion del parto,2226
2315,11642,Correccion desgarro perineall i o ii. sin atencion del parto,2227
2435,1165,Craneoplastia con remplazo oseo,2228
10330,1166,Tratamiento para descompresion y correccion orbitaria.,2427
7627,117100,Queratomileusis sod,5614
7625,117200,Queratofaquia sod,2928
5395,117300,Implante de protesis corneana (queratoprotesis) sod,5615
7637,117400,Queratotomia radial miopica o astigmatica (cirugia refractiva incisional) sod,5616
7623,117600,Queratectomia sod,5617
7628,118100,Queratopigmentacion (tatuaje de la cornea) sod,5618
4878,119493,Glucosa pre y post carga o test de o sullivan,1392
4243,120000,Extraccion de cuerpo extrano intraocular del segmento anterior de ojo. por paracentesis ncoc,1048
2545,12004,Curas redondas,11100
5816,120N01,INTERNACIÓN EN UNIDAD DE CUIDADO BÁSICO NEONATAL (CUNA O INCUBADORA),11809
2429,12101,Cranealizacion de seno frontal,5206
7180,12102,Parto intervenido (forceps o espatulas),399
4305,12103,Extraccion de placenta. sin atencion del parto,400
1535,12110,Cesarea,401
5890,121100,Iridotomia con transfixion sod,494
6037,12111,Legrado uterino (obstetrico),402
300,12112,Amniocentesis,403
8814,12113,Reseccion embarazo ectopico,404
9550,1212,SONDA FOLEY N?22,11089
5889,121200,Iridotomia con laser sod,1049
8187,121301,Reduccion de hernia de iris. por reseccion,495
8188,121302,Reduccion de hernia de iris. por sutura de iris,1050
5402,1213213,IMPLANTE JADELL,11038
5880,121400,Iridectomia ( basal. periferica y total) sod,496
1366,12141,CANULA DE GUEDEL NO.2,10884
2674,1220,Derivacion ventriculo atrial,405
4303,12200,Extraccion de neuroestimulador intracraneal sod,235
2675,1221,Derivacion ventriculo peritoneal,406
7149,122101,Paracentesis diagnostica de camara anterior del ojo,1051
2676,1222,Derivacion ventriculo pleural,407
1140,122200,Biopsia de iris sod,497
2503,12222,CUCHILLA BISTURI Nº 20,11075
4862,122222,GLUCOMETRO,11124
6077,1222255,LEVOTIROXINA TABLETAS 25MCG,11105
2515,122232,CUHILLA BISTURI N?15,11078
235,1222335,Alcohol glicerinado 500ml,11106
5439,1222DDD,Indicador quimico multiparametro esterilizacion,11107
2677,1223,Derivacion ventriculo subaracnoidea cervical,408
1125,122300,Biopsia de esclerotica sod,1052
2670,1224,Derivacion subduro atrial,409
1118,122400,Biopsia de cuerpo ciliar sod,5748
2671,1225,Derivacion subduro peritoneal,410
3086,1226,Drenaje de quiste hacia auricula,411
10719,1227,Ventriculostomia (drenaje externo),412
9549,122FN20,SONDA FOLEY N?20,11102
7769,12300,Reapertura de craneotomia sod,236
5887,123001,Iridoplastia. con sutura,5749
5886,123002,Iridoplastia. con laser,5750
6237,123101,Lisis de goniosiquequias por inyeccion de aire o liquido,6942
183,12313,AGUJA HIPODERMICA # 22G,11150
3962,1232355,Exforget( valsartan +hidroclorotiazida),11136
6844,1232ADS22,OLANZAPINA,11064
6238,123300,Lisis de sinequias posteriores sod,5751
10028,1233223,TOALLA IMPREGNADA CON ALCOHOL CJ X100UNI,11108
1494,1233232,CATGUT CROMADO 3/0,11073
2120,12333,Consulta prioritaria,11231
5936,123333,Kit de resina z 250,11141
5884,123400,Iridodialisis sod,5752
4975,1234566,GUANTES LATEX TALLA M,11759
7127,123458,PAÑALES DESECHABLES PEDIATRICOS,12023
9576,12348-4,STOMAHESIVE PASTA PROTECTORA DE PIEL (UND) POSC,12060
2193,123500,Coreoplastia (pupiloplastia) ncoc,5753
8386,123701,Reparacion de coloboma del iris,5754
3390,1240,Eliminacion de derivacion,413
3915,124001,Evacuacion de hifema con lavado de camara anterior,5755
3067,12401,Drenaje de espacio epidural supratentorial. por craneotomia,241
3066,12402,Drenaje de espacio epidural fosa posterior. por craneotomia,242
9106,1241,Revision de derivacion,414
4241,12410,Extraccion de cuerpo extrano intracraneal por craneotomia,243
2807,124101,Destruccion de lesion de iris por: cauterizacion. crioterapia. fotocoagulacion,5756
8742,124201,Reseccion de tumor de iris,5757
5881,124202,Iridocistectomia,5758
16,124301,Ablacion de lesion de cuerpo ciliar por cauterizacion. crioterapia. fotocoagulacion,5759
8740,124401,Reseccion de tumor de cuerpo ciliar,5760
7101,12445PA,Panal para adulto talla l,11093
7124,1245,PAÑAL DESECHABLE TALLA M (ADULTO),11092
1007,1245-3,BARRERA DE OSTEOMIA MOLDEALE CONVENXA NATURA 45MM (UND),12059
2591,1245333M,Deflazacort,11094
1039,1245DF,BILASTINA,12141
180,1245TO,Agua oxigenada 120 ml,11101
1763,124CT123,CLORURO DE SODIO 0.9%,11041
7606,1250,Puncion cisternal,415
9318,12501,Secuestrectomia de craneo. por craniectomia,244
3077,12502,Drenaje de hematoma epidural supratentorial. por craniectomia,245
